Track Title,Primary Artist,Featured Artist,Songwriter 1,Songwriter 1 Split,Songwriter 2,Songwriter 2 Split,Songwriter 3,Songwriter 3 Split,Publisher,ISRC,ISWC,PRO Affiliation,Release Year,Genre,Album Title,Duration,Master Owner
Midnight Dreams,Sophia Chen,D.J. Miller,Sophia Chen,60,D.J. Miller,30,Martin Reeves,10,Evergreen Music Publishing,USRC78901234,T-345.678.910-2,ASCAP,2022,Pop,Sleepless Nights,3:42,Universal Music Group
Ocean Breeze,The Wavelengths,,Julian Morales,50,Tara Williams,50,,,Evergreen Music Publishing,USRC45678901,T-987.654.321-0,BMI,2020,Indie,Coastal Vibes,4:15,Evergreen Records
Skyward,Marcus Lee,Elena Vasquez,Marcus Lee,40,Elena Vasquez,40,Christopher Wright,20,Evergreen Music Publishing,USRC56789012,T-456.789.123-4,ASCAP,2023,Electronic,Altitude,5:31,Sony Music
Autumn Leaves Fall,The Seasons,,Hannah Johnson,100,,,,,,USRC34567890,T-654.321.987-6,BMI,2018,Folk,Changing Seasons,3:58,Evergreen Records
City Lights,Urban Noise Collective,,David Chen,33,Lisa Park,33,Michael Torres,33,Evergreen Music Publishing,USRC23456789,T-789.123.456-8,ASCAP,2021,Hip Hop,Concrete Jungle,4:27,Warner Music
Mountain High,Nature's Voice,,Robert Greenfield,75,Sarah Adams,25,,,Evergreen Music Publishing,USRC12345678,T-321.654.987-0,BMI,2019,Country,Natural Wonders,3:12,Universal Music Group
Electric Soul,The Volts,,Jessica Winters,55,Fernando Lopez,45,,,Evergreen Music Publishing,USRC90123456,T-234.567.891-2,ASCAP,2022,R&B,Power Surge,3:38,Sony Music
Whispers in the Dark,Night Owls,,James Harrison,60,Olivia Chen,20,Damon Wright,20,Evergreen Music Publishing,USRC89012345,T-876.543.219-4,BMI,2020,Alternative,Nocturnal,4:46,Warner Music
Desert Wind,Amir Hassan,,Amir Hassan,100,,,,,,USRC67890123,T-543.219.876-6,ASCAP,2023,World,Sands of Time,5:03,Evergreen Records
Golden Hour,Sunset Brigade,,Rachel Kim,50,Brandon Lee,30,Vanessa Park,20,Evergreen Music Publishing,USRC98765432,T-912.345.678-8,BMI,2021,Indie Pop,Daybreak,3:52,Universal Music Group
Dancing Flames,Fire & Ice,,Diego Mendes,70,Naomi Johnson,30,,,Evergreen Music Publishing,USRC87654321,T-198.765.432-0,ASCAP,2019,Dance,Elements,4:21,Sony Music
River Flow,The Currents,,Tina Waters,65,Samuel Brooks,35,,,Evergreen Music Publishing,USRC76543210,T-765.432.198-2,BMI,2022,Blues,Deep Waters,5:17,Warner Music
Starlight Symphony,Cosmic Orchestra,,Edward Miller,40,Grace Chen,40,Jason Wang,20,Evergreen Music Publishing,USRC65432109,T-432.198.765-4,ASCAP,2020,Classical Crossover,Celestial,6:24,Evergreen Records
Urban Jungle,Street Poets,,Marcus Greene,45,Zoe Thompson,45,Tyler Robinson,10,Evergreen Music Publishing,USRC54321098,T-210.987.654-6,BMI,2023,Hip Hop,City Stories,3:33,Universal Music Group
Winter's Embrace,Frost,The Northern Lights,Emma White,50,Alexander Frost,30,Lucia Mendez,20,Evergreen Music Publishing,USRC43210987,T-109.876.543-8,ASCAP,2021,Ambient,Frozen Memories,4:57,Sony Music
Summer Haze,Tropical Waves,,Carlos Santos,80,Nina Patel,20,,,Evergreen Music Publishing,USRC32109876,T-987.654.321-0,BMI,2018,Reggae,Island Vibes,3:46,Warner Music
Neon Streets,The Glow,,Jasmine Lee,60,Kevin Park,20,Mia Chen,20,Evergreen Music Publishing,USRC21098765,T-876.543.210-2,ASCAP,2022,Synthwave,Night Drive,4:12,Evergreen Records
Echoes of Yesterday,Vintage Souls,,Thomas Reed,45,Claire Simmons,45,Daniel Johnson,10,Evergreen Music Publishing,USRC10987654,T-765.432.109-4,BMI,2019,Jazz,Memories,5:38,Universal Music Group
Wild Hearts,Freedom Riders,,Olivia Wild,75,Ryan Freeman,25,,,Evergreen Music Publishing,GBRC98765432,T-654.321.098-6,ASCAP,2023,Rock,Untamed,3:28,Sony Music
Rainy Day Blues,The Downpours,,William Stone,60,Elizabeth Rain,40,,,Evergreen Music Publishing,GBRC87654321,T-543.210.987-8,BMI,2020,Blues,Weather Patterns,4:35,Warner Music
Dreamscape,Luna Park,,Sophia Moon,55,Nathan Stars,45,,,Evergreen Music Publishing,GBRC76543210,T-432.109.876-0,ASCAP,2021,Dream Pop,Sleep Cycles,5:22,Evergreen Records
Heartbeat,Pulse,,Maya Rhythm,65,Jake Drums,35,,,Evergreen Music Publishing,GBRC65432109,T-321.098.765-2,BMI,2022,Pop,Vital Signs,3:17,Universal Music Group
Sunset Boulevard,Hollywood Nights,,Charlie Fame,40,Diana Lights,40,Victor Camera,20,Evergreen Music Publishing,GBRC54321098,T-210.987.654-4,ASCAP,2019,Pop Rock,Walk of Fame,4:43,Sony Music
Moonlight Sonata Remix,Classical Evolution,DJ Beethoven,Ludwig van Beethoven,60,Anna Martinez,40,,,Evergreen Music Publishing,GBRC43210987,T-109.876.543-6,BMI,2023,Classical Remix,Reimagined Classics,6:12,Warner Music
Lost in Translation,Global Voices,,Yuki Tanaka,50,Gabriel Sanchez,50,,,Evergreen Music Publishing,GBRC32109876,T-098.765.432-8,ASCAP,2020,World Fusion,Cultural Exchange,4:28,Evergreen Records
Desert Mirage,Oasis,,Zara Sahara,90,Omar Dune,10,,,Evergreen Music Publishing,GBRC21098765,T-987.654.321-0,BMI,2022,World,Sandstorms,5:15,Universal Music Group
Cybernetic Dreams,Digital Frontier,,Alex Matrix,60,Riya Code,30,Simon Virtual,10,Evergreen Music Publishing,GBRC10987654,T-876.543.210-2,ASCAP,2021,Electronic,Binary World,4:52,Sony Music
Forest Whispers,Nature's Choir,,Flora Green,70,Fauna Brown,30,,,Evergreen Music Publishing,CARC98765432,T-765.432.109-4,BMI,2019,Ambient,Woodland Tales,6:03,Warner Music
Retro Wave,The Arcades,,Pixel Pete,55,Cassette Queen,45,,,Evergreen Music Publishing,CARC87654321,T-654.321.098-6,ASCAP,2023,Synthwave,8-Bit Memories,3:34,Evergreen Records 